low_q,high_q,mid_q,adx_threshold,max_loss_pct_of_cap,beta_window,pct_lookback,max_hold_bars,n_trades,n_is,n_oos,is_sharpe,oos_sharpe,min_sharpe
0.3,0.92,0.55,15.0,0.05,400,1500,150,532,450,82,0.5905043723707933,1.4947760633187999,0.5905043723707933
0.3,0.92,0.55,15.0,0.05,400,1500,300,408,347,61,0.6924731686258878,2.2878356849476975,0.6924731686258878
0.3,0.92,0.55,15.0,0.05,400,2500,150,505,428,77,0.6577003202966467,0.8415155034724833,0.6577003202966467
0.3,0.92,0.55,15.0,0.05,400,2500,300,377,320,57,0.9338491429326894,1.0753077595863274,0.9338491429326894
0.3,0.92,0.55,15.0,0.05,500,750,150,632,529,103,0.4000734439912224,1.8855058414869226,0.4000734439912224
0.3,0.92,0.55,15.0,0.05,500,750,300,477,402,75,0.603454984898207,2.692539424849331,0.603454984898207
0.3,0.92,0.55,15.0,0.05,500,1500,150,536,448,88,0.48124118532672444,2.4492226468688747,0.48124118532672444
0.3,0.92,0.55,15.0,0.05,500,1500,300,400,336,64,0.5166423875726677,2.4942265700713078,0.5166423875726677
0.3,0.92,0.55,15.0,0.05,500,2500,150,498,422,76,0.7856871262671463,2.5300438496546014,0.7856871262671463
0.3,0.92,0.55,15.0,0.05,500,2500,300,373,318,55,0.8936494536501586,2.211327452975301,0.8936494536501586
0.3,0.92,0.55,20.0,0.01,100,750,150,1393,1191,202,0.17058888413738463,-0.5882867804216827,-0.5882867804216827
0.3,0.92,0.55,20.0,0.01,100,750,300,1328,1135,193,-0.3540929932964702,-0.3994641463465093,-0.3994641463465093
0.3,0.92,0.55,20.0,0.01,100,1500,150,1283,1093,190,0.012094684511315408,-0.25544000433454483,-0.25544000433454483
0.3,0.92,0.55,20.0,0.01,100,1500,300,1217,1036,181,-0.09411743670334252,-0.18999372688752952,-0.18999372688752952
0.3,0.92,0.55,20.0,0.01,100,2500,150,1227,1044,183,-0.22340187466674225,-0.4061675269942911,-0.4061675269942911
0.3,0.92,0.55,20.0,0.01,100,2500,300,1146,973,173,-0.4694323808406824,-0.49352001049549665,-0.49352001049549665
0.3,0.92,0.55,20.0,0.01,200,750,150,1093,942,151,0.4427647084763999,0.43907426356383134,0.43907426356383134
0.3,0.92,0.55,20.0,0.01,200,750,300,974,838,136,-0.1798480157242909,0.517010071224502,-0.1798480157242909
0.3,0.92,0.55,20.0,0.01,200,1500,150,972,827,145,-0.1595702896649517,0.5960306839239798,-0.1595702896649517
0.3,0.92,0.55,20.0,0.01,200,1500,300,853,724,129,-0.3211499262724296,0.9988143565058958,-0.3211499262724296
0.3,0.92,0.55,20.0,0.01,200,2500,150,942,795,147,-0.0738326418506712,0.3178021807530633,-0.0738326418506712
0.3,0.92,0.55,20.0,0.01,200,2500,300,819,688,131,-0.1052562686493151,0.5121920098490947,-0.1052562686493151
0.3,0.92,0.55,20.0,0.01,400,750,150,983,845,138,-0.19043371681589058,0.5262522639402472,-0.19043371681589058
0.3,0.92,0.55,20.0,0.01,400,750,300,805,704,101,0.10064087867235726,1.0441311550396573,0.10064087867235726
0.3,0.92,0.55,20.0,0.01,400,1500,150,840,731,109,0.5786491190387022,0.8224409541407696,0.5786491190387022
0.3,0.92,0.55,20.0,0.01,400,1500,300,656,575,81,0.7709955890194434,0.8481081859018672,0.7709955890194434
0.3,0.92,0.55,20.0,0.01,400,2500,150,800,695,105,0.5367070021593326,0.19121353573266162,0.19121353573266162
0.3,0.92,0.55,20.0,0.01,400,2500,300,619,540,79,0.8155100766113326,0.12872866088342297,0.12872866088342297
0.3,0.92,0.55,20.0,0.01,500,750,150,980,848,132,0.2657565174358046,1.3301234939295878,0.2657565174358046
0.3,0.92,0.55,20.0,0.01,500,750,300,767,670,97,0.4561917336488116,1.591505942541579,0.4561917336488116
0.3,0.92,0.55,20.0,0.01,500,1500,150,820,706,114,0.5020053654120339,2.008106869384316,0.5020053654120339
0.3,0.92,0.55,20.0,0.01,500,1500,300,637,551,86,0.6098231133529467,1.320625015019783,0.6098231133529467
0.3,0.92,0.55,20.0,0.01,500,2500,150,781,678,103,0.9180308277603616,1.3103682785892687,0.9180308277603616
0.3,0.92,0.55,20.0,0.01,500,2500,300,587,512,75,0.9523753695244437,1.3708136033110225,0.9523753695244437
0.3,0.92,0.55,20.0,0.02,100,750,150,1282,1087,195,-0.14120529954400043,-0.5215012683277886,-0.5215012683277886
0.3,0.92,0.55,20.0,0.02,100,750,300,1204,1019,185,-0.6520549806067197,-0.4256960386774603,-0.6520549806067197
