low_q,high_q,mid_q,n_trades,n_is,n_oos,is_sharpe,oos_sharpe,min_sharpe
0.1,0.8,0.45,826,684,142,0.5263278345156144,-0.016132581852709587,-0.016132581852709587
0.1,0.8,0.5,836,692,144,0.3849717275258184,0.28505544483995304,0.28505544483995304
0.1,0.8,0.55,841,697,144,0.4517540112256772,0.16714196282710975,0.16714196282710975
0.1,0.8,0.6,850,705,145,0.40267456406662083,0.3910196973093783,0.3910196973093783
0.1,0.9,0.4,670,553,117,0.37495007377689804,0.481178339097321,0.37495007377689804
0.1,0.9,0.45,668,551,117,0.48996761763180785,0.7060967587993832,0.48996761763180785
0.1,0.9,0.5,670,552,118,0.32059742523692547,0.8445350291757615,0.32059742523692547
0.1,0.9,0.55,671,554,117,0.21793748292814266,0.8261862456781047,0.21793748292814266
0.1,0.9,0.6,671,554,117,0.21928821637732507,0.9841621866798616,0.21928821637732507
0.1,0.92,0.4,640,524,116,0.29987954400502453,0.3629661597898796,0.29987954400502453
0.1,0.92,0.45,639,523,116,0.37360603534264064,0.5912409106924216,0.37360603534264064
0.1,0.92,0.5,639,522,117,0.20321656133495827,0.7203481967961689,0.20321656133495827
0.1,0.92,0.55,638,522,116,0.15779479789351028,0.7040308166958663,0.15779479789351028
0.1,0.92,0.6,639,523,116,0.14117596308757974,0.8624033981433,0.14117596308757974
0.1,0.95,0.4,583,476,107,0.286649644466874,-0.2791372479258974,-0.2791372479258974
0.1,0.95,0.45,579,472,107,0.40506303594427934,-0.011364999633152156,-0.011364999633152156
0.1,0.95,0.5,580,472,108,0.21446947202900454,0.22098745753348653,0.21446947202900454
0.1,0.95,0.55,579,472,107,0.18163173356611817,0.07529423751971363,0.07529423751971363
0.1,0.95,0.6,581,474,107,0.18818685431306648,0.34139593638517146,0.18818685431306648
0.1,0.975,0.4,527,432,95,0.17098479858279875,-0.17400753374665678,-0.17400753374665678
0.1,0.975,0.45,521,427,94,0.3003366153365801,0.11246776601462836,0.11246776601462836
0.1,0.975,0.5,523,428,95,0.1201673563310551,0.2992370337434142,0.1201673563310551
0.1,0.975,0.55,521,427,94,0.022853823470325905,0.15490070704266803,0.022853823470325905
0.1,0.975,0.6,523,429,94,-0.03605315681176013,0.2806960798721541,-0.03605315681176013
0.1,0.99,0.4,495,406,89,0.1610990086498382,-0.2522251831424267,-0.2522251831424267
0.1,0.99,0.45,489,401,88,0.309373345500864,0.020573077005283564,0.020573077005283564
0.1,0.99,0.5,491,402,89,0.14468640495347698,0.2842492522169837,0.14468640495347698
0.1,0.99,0.55,489,401,88,0.04710179569531737,0.3194907768122769,0.04710179569531737
0.1,0.99,0.6,490,402,88,-0.03295828272223535,0.46338032094431747,-0.03295828272223535
0.2,0.7,0.4,1107,925,182,0.35070730463798505,0.23473170177310151,0.23473170177310151
0.2,0.7,0.45,1110,927,183,0.33678209641139084,0.17228968323914182,0.17228968323914182
0.2,0.7,0.5,1118,934,184,0.18897657283776567,0.24984075554994878,0.18897657283776567
0.2,0.7,0.55,1128,942,186,0.2145206620970915,0.25576474792445525,0.2145206620970915
0.2,0.7,0.6,1146,957,189,0.19941740442774608,-0.056489140262983135,-0.056489140262983135
0.2,0.8,0.4,983,815,168,0.3652303736893147,-0.5393059692859596,-0.5393059692859596
0.2,0.8,0.45,981,813,168,0.3409439626125921,-0.5827237426630445,-0.5827237426630445
0.2,0.8,0.5,988,819,169,0.2400681309328217,-0.3763850807262239,-0.3763850807262239
0.2,0.8,0.55,989,820,169,0.3224775825317273,-0.4066132705201805,-0.4066132705201805
0.2,0.8,0.6,993,824,169,0.2872175781258903,-0.2433019149931044,-0.2433019149931044
0.2,0.9,0.4,829,685,144,0.1658085323757183,0.2148419304345908,0.1658085323757183
0.2,0.9,0.45,823,680,143,0.2798148687080545,0.22605041129954087,0.22605041129954087
0.2,0.9,0.5,822,679,143,0.15683150119418854,0.2077232613994362,0.15683150119418854
0.2,0.9,0.55,819,677,142,0.07921500654157623,0.2518984392917931,0.07921500654157623
0.2,0.9,0.6,814,673,141,0.0961778542900042,0.3602156327455536,0.0961778542900042
0.2,0.92,0.4,799,656,143,0.08896128896944044,0.10549361698161523,0.08896128896944044
